ID,USER ID,Trial ID,Target,Response,Correct,A,B,C,D
0,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,0,A,D,0,319,125,205,81
1,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,1,A,B,0,205,210,250,119
2,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,2,C,C,1,77,119,156,55
3,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,3,A,A,1,302,316,55,97
4,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,4,B,A,0,53,72,201,99
5,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,5,A,D,0,69,97,35,121
6,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,6,A,C,0,315,125,190,168
7,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,7,B,D,0,57,320,119,302
8,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,8,D,D,1,201,231,92,186
9,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,9,A,C,0,138,49,311,201
10,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,10,C,C,1,253,33,96,270
11,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,11,C,C,1,72,53,322,117
12,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,12,D,D,1,125,165,185,316
13,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,13,B,B,1,72,201,236,69
14,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,14,D,D,1,183,33,281,293
15,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,15,A,C,0,125,53,124,186
16,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,16,D,D,1,138,277,299,97
17,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,17,C,C,1,72,99,183,94
18,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,18,B,B,1,186,70,119,185
19,ap-northeast-1:560cdc91-0a22-4995-a7ad-0222fbc0b739,19,B,B,1,186,233,183,302
